"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2018","","England and Wales","","","","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.2"
"2018","","England and Wales","","","","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2018","","England and Wales","","","","All","","Rate per 1,000 live births","Units","Undefined","K04000001","2.7"
"2018","","England and Wales","","","","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","3"
"2018","","England and Wales","","","","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2018","","England and Wales","","","","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","3.4"
"2018","","England and Wales","","","","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.3"
"2018","","England and Wales","","","","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2018","","England and Wales","","","","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","3"
"2018","","England and Wales","","","","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.1"
"2018","","England and Wales","","","","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2018","","England and Wales","","","","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","2.6"
"2018","","England and Wales","","","","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.9"
"2018","","England and Wales","","","","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2018","","England and Wales","","","","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","2.3"
"2018","","England and Wales","","","","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.4"
"2018","","England and Wales","","","","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2018","","England and Wales","","","","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","3"
"2018","","England and Wales","","","","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.8"
"2018","","England and Wales","","","","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2018","","England and Wales","","","","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","3.6"
