"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","1000 to 1499","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","22.7"
"2017","","England and Wales","","","1000 to 1499","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","6.5"
"2017","","England and Wales","","","1000 to 1499","All","","Rate per 1,000 live births","Units","Undefined","K04000001","29.2"
"2017","","England and Wales","","","1000 to 1499","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","25.4"
"2017","","England and Wales","","","1000 to 1499","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","6.8"
"2017","","England and Wales","","","1000 to 1499","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","32.2"
"2017","","England and Wales","","","1000 to 1499","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","23.7"
"2017","","England and Wales","","","1000 to 1499","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","25.7"
"2017","","England and Wales","","","1000 to 1499","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","31.2"
"2017","","England and Wales","","","1000 to 1499","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","10.1"
"2017","","England and Wales","","","1000 to 1499","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","41.4"
"2017","","England and Wales","","","1000 to 1499","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","14.6"
"2017","","England and Wales","","","1000 to 1499","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","6.6"
"2017","","England and Wales","","","1000 to 1499","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","21.2"
"2017","","England and Wales","","","1000 to 1499","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","16.5"
"2017","","England and Wales","","","1000 to 1499","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1000 to 1499","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1500 to 1999","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","8.1"
"2017","","England and Wales","","","1500 to 1999","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","4.1"
"2017","","England and Wales","","","1500 to 1999","All","","Rate per 1,000 live births","Units","Undefined","K04000001","12.2"
"2017","","England and Wales","","","1500 to 1999","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1500 to 1999","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","1500 to 1999","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","15.7"
"2017","","England and Wales","","","1500 to 1999","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","7.5"
"2017","","England and Wales","","","1500 to 1999","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","3"
"2017","","England and Wales","","","1500 to 1999","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","10.5"
"2017","","England and Wales","","","1500 to 1999","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","8"
"2017","","England and Wales","","","1500 to 1999","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.8"
"2017","","England and Wales","","","1500 to 1999","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","9.8"
"2017","","England and Wales","","","1500 to 1999","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","6.9"
"2017","","England and Wales","","","1500 to 1999","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","3.1"
"2017","","England and Wales","","","1500 to 1999","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","10"
"2017","","England and Wales","","","1500 to 1999","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","9.9"
"2017","","England and Wales","","","1500 to 1999","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","5.8"
"2017","","England and Wales","","","1500 to 1999","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","15.7"
"2017","","England and Wales","","","1500 to 1999","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","11.3"
"2017","","England and Wales","","","1500 to 1999","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","11.3"
"2017","","England and Wales","","","1500 to 1999","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","22.6"
"2017","","England and Wales","","","1500 to 1999","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
